Time, loss, accuracy, validation_loss, validation_accuracy
215 ,1.6527 ,0.3942 ,1.3018 ,0.5298
218 ,1.2943 ,0.5359 ,1.0488 ,0.6289
223 ,1.1629 ,0.5863 ,0.9587 ,0.6602
215 ,1.0801 ,0.6163 ,0.9090 ,0.6807
217 ,1.0295 ,0.6338 ,0.8738 ,0.6877
207 ,0.9814 ,0.6511 ,0.8120 ,0.7168
208 ,0.9440 ,0.6695 ,0.7798 ,0.7281
206 ,0.9208 ,0.6758 ,0.7849 ,0.7267
206 ,0.8955 ,0.6859 ,0.7761 ,0.7269
210 ,0.8736 ,0.6924 ,0.7365 ,0.7431
211 ,0.8628 ,0.6961 ,0.7400 ,0.7420
210 ,0.8440 ,0.7028 ,0.7083 ,0.7510
206 ,0.8294 ,0.7098 ,0.7034 ,0.7550
205 ,0.8179 ,0.7125 ,0.7401 ,0.7444
206 ,0.8093 ,0.7161 ,0.6876 ,0.7588
206 ,0.8001 ,0.7196 ,0.6777 ,0.7635
206 ,0.7890 ,0.7209 ,0.6668 ,0.7679
206 ,0.7782 ,0.7272 ,0.6564 ,0.7726
206 ,0.7777 ,0.7270 ,0.6526 ,0.7697
206 ,0.7674 ,0.7300 ,0.6492 ,0.7758
205 ,0.7605 ,0.7327 ,0.6537 ,0.7703
206 ,0.7519 ,0.7362 ,0.6386 ,0.7734
206 ,0.7430 ,0.7386 ,0.6430 ,0.7748
207 ,0.7407 ,0.7390 ,0.6288 ,0.7806
206 ,0.7350 ,0.7398 ,0.6328 ,0.7791
207 ,0.7334 ,0.7449 ,0.6126 ,0.7857
207 ,0.7301 ,0.7436 ,0.6124 ,0.7860
206 ,0.7203 ,0.7471 ,0.6044 ,0.7900
207 ,0.7178 ,0.7491 ,0.5996 ,0.7904
206 ,0.7122 ,0.7504 ,0.5941 ,0.7914
206 ,0.7118 ,0.7519 ,0.6049 ,0.7884
206 ,0.7066 ,0.7534 ,0.5942 ,0.7929
207 ,0.7021 ,0.7537 ,0.6072 ,0.7896
206 ,0.6954 ,0.7552 ,0.6082 ,0.7871
207 ,0.6973 ,0.7561 ,0.5917 ,0.7953
206 ,0.6891 ,0.7582 ,0.5889 ,0.7973
206 ,0.6896 ,0.7572 ,0.5943 ,0.7951
206 ,0.6792 ,0.7638 ,0.5800 ,0.7976
206 ,0.6782 ,0.7623 ,0.5733 ,0.8010
206 ,0.6765 ,0.7615 ,0.5730 ,0.8015
206 ,0.6761 ,0.7637 ,0.5676 ,0.8035
205 ,0.6713 ,0.7657 ,0.5817 ,0.7967
206 ,0.6697 ,0.7648 ,0.5764 ,0.8000
206 ,0.6728 ,0.7631 ,0.5710 ,0.8011
206 ,0.6580 ,0.7690 ,0.5759 ,0.8012
207 ,0.6634 ,0.7656 ,0.5677 ,0.8025
206 ,0.6594 ,0.7692 ,0.5583 ,0.8074
206 ,0.6579 ,0.7690 ,0.5622 ,0.8054
207 ,0.6519 ,0.7723 ,0.5607 ,0.8065
206 ,0.6541 ,0.7715 ,0.5522 ,0.8104
206 ,0.6469 ,0.7734 ,0.5552 ,0.8078
206 ,0.6462 ,0.7739 ,0.5587 ,0.8027
206 ,0.6443 ,0.7742 ,0.5578 ,0.8065
205 ,0.6465 ,0.7738 ,0.5512 ,0.8089
206 ,0.6402 ,0.7763 ,0.5573 ,0.8061
206 ,0.6417 ,0.7753 ,0.5487 ,0.8079
207 ,0.6404 ,0.7763 ,0.5488 ,0.8105
207 ,0.6333 ,0.7782 ,0.5417 ,0.8132
206 ,0.6328 ,0.7768 ,0.5348 ,0.8153
206 ,0.6269 ,0.7797 ,0.5359 ,0.8139
205 ,0.6318 ,0.7777 ,0.5451 ,0.8108
206 ,0.6293 ,0.7785 ,0.5387 ,0.8144
205 ,0.6260 ,0.7806 ,0.5380 ,0.8137
206 ,0.6222 ,0.7822 ,0.5359 ,0.8145
207 ,0.6170 ,0.7827 ,0.5361 ,0.8139
206 ,0.6153 ,0.7840 ,0.5278 ,0.8175
206 ,0.6170 ,0.7828 ,0.5385 ,0.8142
206 ,0.6137 ,0.7867 ,0.5400 ,0.8105
205 ,0.6213 ,0.7833 ,0.5331 ,0.8143
206 ,0.6141 ,0.7855 ,0.5276 ,0.8160
206 ,0.6074 ,0.7876 ,0.5253 ,0.8174
207 ,0.6114 ,0.7859 ,0.5211 ,0.8206
207 ,0.6074 ,0.7890 ,0.5240 ,0.8171
206 ,0.6033 ,0.7877 ,0.5220 ,0.8209
205 ,0.6074 ,0.7875 ,0.5181 ,0.8198
206 ,0.6052 ,0.7872 ,0.5158 ,0.8217
206 ,0.6044 ,0.7891 ,0.5286 ,0.8165
206 ,0.6024 ,0.7888 ,0.5268 ,0.8153
205 ,0.5993 ,0.7889 ,0.5161 ,0.8215
205 ,0.5993 ,0.7896 ,0.5159 ,0.8223
207 ,0.5978 ,0.7893 ,0.5204 ,0.8196
206 ,0.5996 ,0.7890 ,0.5249 ,0.8172
207 ,0.5968 ,0.7897 ,0.5155 ,0.8218
207 ,0.5928 ,0.7923 ,0.5081 ,0.8235
207 ,0.5926 ,0.7929 ,0.5215 ,0.8208
208 ,0.5842 ,0.7966 ,0.5151 ,0.8229
206 ,0.5904 ,0.7908 ,0.5200 ,0.8207
206 ,0.5924 ,0.7926 ,0.5094 ,0.8237
206 ,0.5881 ,0.7942 ,0.5043 ,0.8259
206 ,0.5838 ,0.7948 ,0.5090 ,0.8237
206 ,0.5875 ,0.7940 ,0.5104 ,0.8241
206 ,0.5872 ,0.7939 ,0.5040 ,0.8243
206 ,0.5832 ,0.7952 ,0.5062 ,0.8257
205 ,0.5777 ,0.7962 ,0.5002 ,0.8282
206 ,0.5818 ,0.7969 ,0.5052 ,0.8269
206 ,0.5821 ,0.7972 ,0.5110 ,0.8242
206 ,0.5790 ,0.7963 ,0.5079 ,0.8240
206 ,0.5785 ,0.7968 ,0.5056 ,0.8268
205 ,0.5825 ,0.7976 ,0.5141 ,0.8218
206 ,0.5739 ,0.7988 ,0.5007 ,0.8287
207 ,0.5787 ,0.7959 ,0.5039 ,0.8269
208 ,0.5735 ,0.7983 ,0.5014 ,0.8269
208 ,0.5706 ,0.8004 ,0.4999 ,0.8289
208 ,0.5685 ,0.8001 ,0.5210 ,0.8188
207 ,0.5705 ,0.8004 ,0.5028 ,0.8253
207 ,0.5682 ,0.8006 ,0.4910 ,0.8304
208 ,0.5677 ,0.8019 ,0.4983 ,0.8270
208 ,0.5657 ,0.8004 ,0.4936 ,0.8285
206 ,0.5638 ,0.8039 ,0.4988 ,0.8278
207 ,0.5639 ,0.8031 ,0.4980 ,0.8275
207 ,0.5638 ,0.8040 ,0.4983 ,0.8268
206 ,0.5640 ,0.8007 ,0.4924 ,0.8302
205 ,0.5580 ,0.8031 ,0.4923 ,0.8300
206 ,0.5613 ,0.8044 ,0.4999 ,0.8265
205 ,0.5656 ,0.8016 ,0.4940 ,0.8268
205 ,0.5602 ,0.8054 ,0.4931 ,0.8282
205 ,0.5589 ,0.8039 ,0.4906 ,0.8310
206 ,0.5564 ,0.8043 ,0.4913 ,0.8297
206 ,0.5529 ,0.8052 ,0.4909 ,0.8298
205 ,0.5533 ,0.8048 ,0.5054 ,0.8254
205 ,0.5551 ,0.8049 ,0.4873 ,0.8306
206 ,0.5551 ,0.8046 ,0.4971 ,0.8274
207 ,0.5523 ,0.8073 ,0.4859 ,0.8317
206 ,0.5519 ,0.8070 ,0.4904 ,0.8304
207 ,0.5553 ,0.8051 ,0.4826 ,0.8326
206 ,0.5509 ,0.8069 ,0.4857 ,0.8316
206 ,0.5530 ,0.8056 ,0.4893 ,0.8329
206 ,0.5489 ,0.8061 ,0.4866 ,0.8317
206 ,0.5460 ,0.8079 ,0.4824 ,0.8355
205 ,0.5412 ,0.8097 ,0.4799 ,0.8350
206 ,0.5456 ,0.8107 ,0.4903 ,0.8290
205 ,0.5480 ,0.8075 ,0.4899 ,0.8316
205 ,0.5481 ,0.8079 ,0.4870 ,0.8311
205 ,0.5430 ,0.8095 ,0.4850 ,0.8319
205 ,0.5454 ,0.8103 ,0.4822 ,0.8316
205 ,0.5402 ,0.8109 ,0.4744 ,0.8360
206 ,0.5453 ,0.8088 ,0.4812 ,0.8339
205 ,0.5447 ,0.8116 ,0.4876 ,0.8327
205 ,0.5397 ,0.8112 ,0.4859 ,0.8340
205 ,0.5412 ,0.8113 ,0.4814 ,0.8350
205 ,0.5398 ,0.8095 ,0.4788 ,0.8349
205 ,0.5393 ,0.8119 ,0.4790 ,0.8359
204 ,0.5366 ,0.8114 ,0.4783 ,0.8319
205 ,0.5360 ,0.8116 ,0.4859 ,0.8309
206 ,0.5400 ,0.8113 ,0.4720 ,0.8361
205 ,0.5356 ,0.8129 ,0.4816 ,0.8340
204 ,0.5370 ,0.8107 ,0.4738 ,0.8367
205 ,0.5373 ,0.8130 ,0.4785 ,0.8346
206 ,0.5366 ,0.8125 ,0.4691 ,0.8370
206 ,0.5326 ,0.8145 ,0.4767 ,0.8340
206 ,0.5355 ,0.8118 ,0.4721 ,0.8365
205 ,0.5344 ,0.8131 ,0.4765 ,0.8357
205 ,0.5316 ,0.8133 ,0.4704 ,0.8392
205 ,0.5332 ,0.8129 ,0.4804 ,0.8337
206 ,0.5282 ,0.8144 ,0.4787 ,0.8345
205 ,0.5264 ,0.8164 ,0.4781 ,0.8338
204 ,0.5304 ,0.8137 ,0.4717 ,0.8377
205 ,0.5265 ,0.8180 ,0.4695 ,0.8379
205 ,0.5349 ,0.8129 ,0.4716 ,0.8379
204 ,0.5254 ,0.8136 ,0.4731 ,0.8360
205 ,0.5258 ,0.8160 ,0.4710 ,0.8372
205 ,0.5275 ,0.8140 ,0.4805 ,0.8328
205 ,0.5219 ,0.8159 ,0.4703 ,0.8372
205 ,0.5194 ,0.8159 ,0.4683 ,0.8397
205 ,0.5235 ,0.8153 ,0.4728 ,0.8382
205 ,0.5251 ,0.8160 ,0.4735 ,0.8365
204 ,0.5228 ,0.8165 ,0.4687 ,0.8382
205 ,0.5218 ,0.8171 ,0.4710 ,0.8403
206 ,0.5232 ,0.8171 ,0.4648 ,0.8396
206 ,0.5166 ,0.8188 ,0.4677 ,0.8392
206 ,0.5216 ,0.8162 ,0.4692 ,0.8386
206 ,0.5225 ,0.8171 ,0.4708 ,0.8382
206 ,0.5185 ,0.8175 ,0.4690 ,0.8390
206 ,0.5205 ,0.8173 ,0.4738 ,0.8385
204 ,0.5259 ,0.8169 ,0.4635 ,0.8404
204 ,0.5159 ,0.8186 ,0.4690 ,0.8386
205 ,0.5199 ,0.8179 ,0.4637 ,0.8406
205 ,0.5179 ,0.8186 ,0.4813 ,0.8356
205 ,0.5189 ,0.8148 ,0.4715 ,0.8370
205 ,0.5109 ,0.8181 ,0.4669 ,0.8408
205 ,0.5225 ,0.8179 ,0.4690 ,0.8388
205 ,0.5202 ,0.8186 ,0.4661 ,0.8390
206 ,0.5125 ,0.8197 ,0.4689 ,0.8391
205 ,0.5171 ,0.8177 ,0.4692 ,0.8379
205 ,0.5052 ,0.8227 ,0.4678 ,0.8385
205 ,0.5121 ,0.8192 ,0.4580 ,0.8424
205 ,0.5130 ,0.8190 ,0.4617 ,0.8408
205 ,0.5065 ,0.8224 ,0.4577 ,0.8434
205 ,0.5110 ,0.8175 ,0.4673 ,0.8414
204 ,0.5140 ,0.8203 ,0.4627 ,0.8419
205 ,0.5050 ,0.8207 ,0.4634 ,0.8415
205 ,0.5027 ,0.8242 ,0.4686 ,0.8383
204 ,0.5099 ,0.8219 ,0.4591 ,0.8440
205 ,0.5091 ,0.8216 ,0.4674 ,0.8397
204 ,0.5066 ,0.8219 ,0.4681 ,0.8384
204 ,0.5078 ,0.8222 ,0.4612 ,0.8410
205 ,0.5053 ,0.8224 ,0.4590 ,0.8426
206 ,0.5087 ,0.8234 ,0.4609 ,0.8417
205 ,0.5056 ,0.8225 ,0.4672 ,0.8412
205 ,0.5037 ,0.8230 ,0.4615 ,0.8449
